ImageName	ComponentLabel	Script	Text
img0001.png	Text	Latin	"Reebok"
img0002.png	Text	Latin	"Extra"
img0003.png	Text	Latin	"OCTOBER"
img0004.png	Text	Latin	"UNIVERSITY"
img0005.png	Text	Latin	"lIbrary"
img0006.png	Text	Latin	"fashion"
img0007.png	Text	Latin	"UNIVERSITY"
img0008.png	Text	Latin	"OF"
img0009.png	Text	Latin	"ENGINEERING"
img0010.png	Text	Latin	"THEY'RE"
img0011.png	Text	Latin	"MANAGEMEN"
img0012.png	Text	Latin	"NEW"
img0013.png	Text	Latin	"TOWN."
img0014.png	Text	Latin	"DECEMBER"
img0015.png	Text	Latin	"KOLKATA"
img0016.png	Text	Latin	"NH-11"
img0017.png	Text	Latin	"COURSES"
img0018.png	Text	Latin	"COM"
img0019.png	Text	Latin	"GASTRO"
img0020.png	Text	Latin	"OFFERED"
img0021.png	Text	Latin	"B.Tech"
img0022.png	Text	Latin	"M.Tech."
img0023.png	Text	Latin	"LION"
img0024.png	Text	Latin	"BBA"
img0025.png	Text	Latin	"MICROCHIP"
img0026.png	Text	Latin	"MBA"
img0027.png	Text	Latin	"M.Sc"
img0028.png	Text	Latin	"With"
img0029.png	Text	Latin	"electives"
img0030.png	Text	Latin	"Download"
img0031.png	Text	Latin	"1920"
img0032.png	Text	Latin	"Machine"
img0033.png	Text	Latin	"Artificial"
img0034.png	Text	Latin	"BENGAL"
img0035.png	Text	Latin	"Cyber"
img0036.png	Text	Latin	"Gandhi"
img0037.png	Text	Latin	"MONOPOLY"
img0038.png	Text	Latin	"Max"
img0039.png	Text	Latin	"More"
img0040.png	Text	Latin	"Fashion"
img0041.png	Text	Latin	"Max"
img0042.png	Text	Latin	"OFF"
img0043.png	Text	Latin	"50"
img0044.png	Text	Latin	"EVOLUTION"
img0045.png	Text	Latin	"SALE"
img0046.png	Text	Latin	"UPTO"
img0047.png	Text	Latin	"Birthday"
img0048.png	Text	Latin	"Career"
img0049.png	Text	Latin	"Launcher"
img0050.png	Text	Latin	"I.C.E"
img0051.png	Text	Latin	"Imagine"
img0052.png	Text	Latin	"THE"
img0053.png	Text	Latin	"SITE"
img0054.png	Text	Latin	"FOR"
img0055.png	Text	Latin	"COMPLE X"
img0056.png	Text	Latin	"TRAINING"
img0057.png	Text	Latin	"Yoga"
img0058.png	Text	Latin	"LIFT"
img0059.png	Text	Latin	"Durga"
img0060.png	Text	Latin	"INSTITUTE"
img0061.png	Text	Latin	"SOON"
img0062.png	Text	Latin	"OPENING"
img0063.png	Text	Latin	"EJAZ"
img0064.png	Text	Latin	"KARADI"
img0065.png	Text	Latin	"SHOP"
img0066.png	Text	Latin	"re"
img0067.png	Text	Latin	"WE"
img0068.png	Text	Latin	"here"
img0069.png	Text	Latin	"STALL"
img0070.png	Text	Latin	"Puja"
img0071.png	Text	Latin	"ATIN"
img0072.png	Text	Latin	"BANDYOPADHYAY"
img0073.png	Text	Latin	"almost"
img0074.png	Text	Latin	"year"
img0075.png	Text	Latin	"HALL"
img0076.png	Text	Latin	"Atin"
img0077.png	Text	Latin	"Bandyopadhyay"
img0078.png	Text	Latin	"1"
img0079.png	Text	Latin	"March"
img0080.png	Text	Latin	"1934"
img0081.png	Text	Latin	"Laxmi"
img0082.png	Text	Latin	"19"
img0083.png	Text	Latin	"KAPIL"
img0084.png	Text	Latin	"January"
img0085.png	Text	Latin	"WBTC"
img0086.png	Text	Latin	"Salt"
img0087.png	Text	Latin	"2019"
img0088.png	Text	Latin	"BROADBAND"
img0089.png	Text	Latin	"ALLIAnce"
img0090.png	Text	Latin	"Call"
img0091.png	Text	Latin	"1800"
img0092.png	Text	Latin	"BALM"
img0093.png	Text	Latin	"1200"
img0094.png	Text	Latin	"300"
img0095.png	Text	Latin	"www."
img0096.png	Text	Latin	"445"
img0097.png	Text	Latin	"0100120 I7098"
img0098.png	Text	Latin	"alliancebroadband."
img0099.png	Text	Latin	"CO."
img0100.png	Text	Latin	"SPRINK"
img0101.png	Text	Latin	"TMCP"
img0102.png	Text	Latin	".in"
img0103.png	Text	Latin	"Kali"
img0104.png	Text	Latin	"SMART"
img0105.png	Text	Latin	"CITY"
img0106.png	Text	Latin	"BBA"
img0107.png	Text	Latin	"LLB"
img0108.png	Text	Latin	"Department"
img0109.png	Text	Latin	"Shastra"
img0110.png	Text	Latin	"introduces"
img0111.png	Text	Latin	"Kasur"
img0112.png	Text	Latin	"UNIVERSITY"
img0113.png	Text	Latin	"OF"
img0114.png	Text	Latin	"Curricular"
img0115.png	Text	Latin	"Fateha"
img0116.png	Text	Latin	"ENGINEERING"
img0117.png	Text	Latin	"MANAGEMENT"
img0118.png	Text	Latin	"COSTA"
img0119.png	Text	Latin	"RICA"
img0120.png	Text	Latin	"Rights"
img0121.png	Text	Latin	"ludo+"
img0122.png	Text	Latin	"OUT"
img0123.png	Text	Latin	"Methi"
img0124.png	Text	Latin	"SUPER"
img0125.png	Text	Latin	"ARGENTINA"
img0126.png	Text	Latin	"Doaz"
img0127.png	Text	Latin	"RUSSIA"
img0128.png	Text	Latin	"JAPAN"
img0129.png	Text	Latin	"com"
img0130.png	Text	Latin	"Brain"
img0131.png	Text	Latin	"ROUND"
img0132.png	Text	Latin	"Dinajpur"
img0133.png	Text	Latin	"BAS"
img0134.png	Text	Latin	"RUOSH"
img0135.png	Text	Latin	"FASTEST"
img0136.png	Text	Latin	"Dahum"
img0137.png	Text	Latin	"MARKET"
img0138.png	Text	Latin	"AUTOMOBILES"
img0139.png	Text	Latin	"MUKTADHARA"
img0140.png	Text	Latin	"INC"
img0141.png	Text	Latin	"NEW"
img0142.png	Text	Latin	"YORK"
img0143.png	Text	Latin	"HYDRO"
img0144.png	Text	Latin	"DEPARTMENT"
img0145.png	Text	Latin	"APPLICATIONS"
img0146.png	Text	Latin	"cibaca"
img0147.png	Text	Latin	"indian"
img0148.png	Text	Latin	"MINISTRY"
img0149.png	Text	Latin	"government"
img0150.png	Text	Latin	"Opening"
img0151.png	Text	Latin	"Of"
img0152.png	Text	Latin	"CIVIL"
img0153.png	Text	Latin	"EXTRA"
img0154.png	Text	Latin	"F-4"
img0155.png	Text	Latin	"Dabur"
img0156.png	Text	Latin	"KOLKAIA"
img0157.png	Text	Latin	"JUNCTION"
img0158.png	Text	Latin	"Civilization"
img0159.png	Text	Latin	"MBA"
img0160.png	Text	Latin	"BOOK"
img0161.png	Text	Latin	"FAIR"
img0162.png	Text	Latin	"20%"
img0163.png	Text	Latin	"adidas"
img0164.png	Text	Latin	"Soon"
img0165.png	Text	Latin	"PURITY"
img0166.png	Text	Latin	"CORE"
img0167.png	Text	Latin	"AMD"
img0168.png	Text	Latin	"50"
img0169.png	Text	Latin	"Guru"
img0170.png	Text	Latin	"IIT"
img0171.png	Text	Latin	"KHARAGPUR"
img0172.png	Text	Latin	"RADEON"
img0173.png	Text	Latin	"National"
img0174.png	Text	Latin	"only"
img0175.png	Text	Latin	"Digital"
img0176.png	Text	Latin	"4G"
img0177.png	Text	Latin	"Library"
img0178.png	Text	Latin	"of"
img0179.png	Text	Latin	"Nanak"
img0180.png	Text	Latin	"India"
img0181.png	Text	Latin	"2939257"
img0182.png	Text	Latin	"EAST"
img0183.png	Text	Latin	"items"
img0184.png	Text	Latin	"hosted"
img0185.png	Text	Latin	"in"
img0186.png	Text	Latin	"TWINKEL"
img0187.png	Text	Latin	"EDGE"
img0188.png	Text	Latin	"NDL"
img0189.png	Text	Latin	"SIBAL"
img0190.png	Text	Latin	"X-mas"
img0191.png	Text	Latin	"India"
img0192.png	Text	Latin	"kissan"
img0193.png	Text	Latin	"ENTER"
img0194.png	Text	Latin	"Bengal"
img0195.png	Text	Latin	"SEARCH"
img0196.png	Text	Latin	"One"
img0197.png	Text	Latin	"LibraryAllOfIndia"
img0198.png	Text	Latin	"Grow"
img0199.png	Text	Latin	"Share"
img0200.png	Text	Latin	"Learn"
img0201.png	Text	Latin	"CAFETRESSA"
img0202.png	Text	Latin	"MAESTAD"
img0203.png	Text	Latin	"airtel"
img0204.png	Text	Latin	"Library"
img0205.png	Text	Latin	"BRAINWARE"
img0206.png	Text	Latin	"Emergency"
img0207.png	Text	Latin	"UNIVERSITY"
img0208.png	Text	Latin	"FRESH"
img0209.png	Text	Latin	"BRAINWARE"
img0210.png	Text	Latin	"UIVERSITY"
img0211.png	Text	Latin	"Stall"
img0212.png	Text	Latin	"intelligent"
img0213.png	Text	Latin	"339"
img0214.png	Text	Latin	"Schools"
img0215.png	Text	Latin	"Accepted"
img0216.png	Text	Latin	"4G"
img0217.png	Text	Latin	"hoichoi"
img0218.png	Text	Latin	"Services"
img0219.png	Text	Latin	"MEDICAL"
img0220.png	Text	Latin	"Cool"
img0221.png	Text	Latin	"stuff"
img0222.png	Text	Latin	"svf"
img0223.png	Text	Latin	"ADMINISTRATIVE"
img0224.png	Text	Latin	"CHARMIS"
img0225.png	Text	Latin	"HITRA"
img0226.png	Text	Latin	"PASTE"
img0227.png	Text	Latin	"FINALLY"
img0228.png	Text	Latin	"DD"
img0229.png	Text	Latin	"HALL"
img0230.png	Text	Latin	"DEVDUTT"
img0231.png	Text	Latin	"BENGAL"
img0232.png	Text	Latin	"Current"
img0233.png	Text	Latin	"Marcopolo"
img0234.png	Text	Latin	"CHEMIST"
img0235.png	Text	Latin	"GIRLS"
img0236.png	Text	Latin	"FIRE"
img0237.png	Text	Latin	"DCA"
img0238.png	Text	Latin	"EXTINGUISHER"
img0239.png	Text	Latin	"SAFE"
img0240.png	Text	Latin	"DRIVE"
img0241.png	Text	Latin	"Sylvan"
img0242.png	Text	Latin	"BENGAL"
img0243.png	Text	Latin	"SANDHI"
img0244.png	Text	Latin	"JOY"
img0245.png	Text	Latin	"MEANS"
img0246.png	Text	Latin	"VITAMIN"
img0247.png	Text	Latin	"BUSINESS"
img0248.png	Text	Latin	"DRUGGIST"
img0249.png	Text	Latin	"Ltd."
img0250.png	Text	Latin	"State"
img0251.png	Text	Latin	"KOLKATA"
img0252.png	Text	Latin	"AND"
img0253.png	Text	Latin	"215A"
img0254.png	Text	Latin	"Sodium"
img0255.png	Text	Latin	"STATE"
img0256.png	Text	Latin	"215A/1"
img0257.png	Text	Latin	"43/1"
img0258.png	Text	Latin	"201"
img0259.png	Text	Latin	"KB-22"
img0260.png	Text	Latin	"KB-16"
img0261.png	Text	Latin	"44A"
img0262.png	Text	Latin	"260"
img0263.png	Text	Latin	"CCA"
img0264.png	Text	Latin	"ARITAR"
img0265.png	Text	Latin	"Hyaluronate"
img0266.png	Text	Latin	"K-1"
img0267.png	Text	Latin	"GOLDEN"
img0268.png	Text	Latin	"ATM"
img0269.png	Text	Latin	"211B"
img0270.png	Text	Latin	"AC-35"
img0271.png	Text	Latin	"S-23A"
img0272.png	Text	Latin	"APARTMENT"
img0273.png	Text	Latin	"Tally"
img0274.png	Text	Latin	"BUSINESS"
img0275.png	Text	Latin	"AC-23"
img0276.png	Text	Latin	"FIRE"
img0277.png	Text	Latin	"FIRE"
img0278.png	Text	Latin	"150"
img0279.png	Text	Latin	"DN-46"
img0280.png	Text	Latin	"DN-47"
img0281.png	Text	Latin	"UNDER"
img0282.png	Text	Latin	"MART"
img0283.png	Text	Latin	"K-2"
img0284.png	Text	Latin	"WASTE"
img0285.png	Text	Latin	"REGD"
img0286.png	Text	Latin	"Sale"
img0287.png	Text	Latin	"Ophthalmic"
img0288.png	Text	Latin	"TITAN"
img0289.png	Text	Latin	"of"
img0290.png	Text	Latin	"TARAKNATH"
img0291.png	Text	Latin	"MOTOR"
img0292.png	Text	Latin	"Cigarettes"
img0293.png	Text	Latin	"CARRERA"
img0294.png	Text	Latin	"and"
img0295.png	Text	Latin	"Less"
img0296.png	Text	Latin	"EMPORIO ARMANI"
